CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
83283,1082,5449,18200,35437,1762,9086,3029
10919,1867,516,4552,4820,521,820,1684
11329,2049,0,3063,4779,521,887,2915
10644,1710,700,3009,5396,507,1006,2567
10045,1505,877,3364,5259,500,1503,2381
9482,1164,1389,3708,5121,470,1584,2531
8790,1726,2068,2374,6422,407,1673,1929
10457,1515,733,1610,6422,376,1724,2504
10674,1266,618,1545,6065,312,2032,2706
10845,982,419,1430,6837,285,2149,2336
9689,942,1742,1502,7141,255,2286,1757
10043,891,951,1478,7623,224,2415,1647
10576,895,556,1376,7567,220,2559,1528
10314,708,507,1241,7568,405,2570,1904
10141,352,431,1924,7666,399,2603,1746
10190,109,530,2144,7864,309,2883,1148
11043,1817,680,2475,3397,492,339,2188
11777,2050,0,1468,3358,492,398,2893
11441,1967,469,1314,4045,488,416,2257
11424,1687,1087,1868,4003,423,583,1286
10537,1335,1883,2286,3960,364,608,1336
10251,1572,2248,2038,3870,341,790,1178
11978,1423,678,1487,3870,308,906,1625
12307,1103,620,1347,3895,292,979,1720
12779,798,381,1352,3878,255,1040,1686
10711,747,2183,1326,4296,230,1191,1576
11735,705,964,1261,4296,201,1179,1920
12516,658,516,1158,4342,190,1325,1341
12122,453,452,1335,4342,368,1423,1558
12201,284,262,1642,4533,380,1450,1220
12216,80,414,1656,4748,242,1657,937
20568,2150,865,3903,3326,599,729,2485
21352,2592,0,2265,3942,599,809,2947
21048,2493,509,2083,3947,552,890,2980
21380,2076,408,3321,3887,503,1142,1740
20357,1669,2139,3375,3826,481,1194,1322
20310,2179,2977,2614,3745,443,1385,719
22502,1856,652,1834,3745,391,1500,1879
23042,1517,934,1551,3757,372,1671,1402
23615,1070,560,1773,3551,337,1796,1301
20167,1021,4009,1668,4030,294,1905,932
23012,903,1670,1590,4030,255,2022,434
23140,854,932,1559,4058,249,2215,922
22940,536,1055,1950,4087,444,2302,732
22778,309,970,1940,4363,442,2341,376
22672,88,1175,1728,4772,318,2573,256
22155,2612,175,5759,2224,640,413,851
22906,3144,0,3731,2226,640,456,1737
22799,3161,210,3799,2505,604,445,1270
23424,2850,277,5153,1957,559,530,24
20241,2632,3750,3248,2295,575,530,1421
20189,4008,4201,2089,2250,511,456,1075
24134,3630,425,2152,2430,466,477,1009
24319,3174,1226,1755,1485,452,655,1520
25208,2500,826,2065,1227,419,677,1616
20656,2284,5041,1882,1460,368,746,2185
23414,2194,2994,1518,1944,337,712,1418
24259,2074,1578,1477,1944,329,801,2077
24248,1365,1943,2134,1944,557,521,1744
24277,845,1608,2460,2864,698,521,1016
24750,225,1738,2879,2968,423,628,606
13299,2916,642,9637,15187,603,350,718
13653,5104,0,6036,15150,603,400,2410
13422,4385,310,6625,15140,583,496,2327
12541,4704,805,8100,15164,538,596,669
11386,4428,2358,7718,15205,524,618,809
11178,7401,2871,4833,14828,482,749,756
12842,6692,947,6610,12661,407,855,2084
13010,6937,1014,5812,12587,407,974,2108
14024,5587,827,6540,12348,381,1067,1995
12323,5396,2725,6465,12192,358,1237,2044
12529,5402,2201,6478,13377,324,1298,1089
12956,5413,1645,6010,13411,337,1390,1530
13297,4194,1594,6419,13364,497,1170,2111
13301,1887,1372,8423,14838,499,1186,1036
13455,580,1591,9792,15085,470,1345,81
83610,3180,8680,82295,4095,1762,435,6008
85022,4672,10972,77055,4718,1762,514,5249
95818,3952,1273,78402,5428,1408,512,2723
90200,4695,6160,79743,4591,1294,615,1271
86236,4159,8448,80675,4244,1247,630,1906
88313,11273,7651,72940,4496,1219,685,2475
90475,12209,2329,73285,4514,1077,807,4481
88422,9425,5056,73208,4412,1023,893,6156
93725,9513,3731,69696,4280,992,991,5723
87266,9961,12386,67138,3918,906,1143,6200
84543,10601,11458,69695,3693,815,1127,6852
89042,9773,9030,68311,4318,834,1266,6450
85927,8201,7849,71036,4340,1491,1049,8731
84459,4316,8913,74827,5677,2211,1063,6845
87692,1625,7609,79766,6178,967,1256,2851
21363,710,3030,14425,557,394,44,2998
22112,935,4581,13121,606,394,55,1560
26624,754,494,13300,551,305,55,961
25480,756,2039,13457,467,281,66,222
25077,848,1989,12988,436,271,68,770
27001,1889,1297,11278,422,266,62,1005
27275,2270,753,10528,419,249,78,1562
26736,1605,1277,10888,426,228,90,1493
26900,1575,1021,11028,515,214,102,1394
25464,1522,2441,11187,460,192,112,1565
24444,1715,3463,10951,338,168,111,1531
24460,1500,2858,11329,441,183,129,1950
23373,1343,2969,11529,441,318,94,2708
23290,817,3569,11935,699,566,95,1790
24081,322,2718,13336,517,205,123,1368
17238,641,624,25182,1545,371,65,1757
18559,816,446,24402,1914,371,80,906
18851,722,119,24764,2133,256,78,548
16022,1184,1864,26113,1383,233,87,101
16520,934,1511,25432,1496,221,89,304
16327,2998,1519,24030,1699,229,80,243
16655,2770,255,24670,1700,171,93,971
16111,2307,876,24192,1673,192,102,1767
17657,2309,426,23529,1610,185,110,1371
17022,2389,2207,22261,1552,176,126,1531
15458,2485,2439,23947,1450,163,138,1054
17313,2542,1909,22594,1588,160,150,901
17332,2476,1259,22487,1511,286,108,1540
17026,1311,1516,23263,1640,568,109,1395
17624,528,1203,24972,1789,193,152,334
20846,942,1640,22373,892,443,140,591
20428,1400,1949,22154,1087,443,152,261
21929,1117,223,22542,1080,387,137,385
21450,1309,878,22266,1073,360,163,262
18880,1031,2364,23731,848,364,168,270
18646,2461,2272,22179,1031,328,173,682
19724,3274,412,22137,1032,295,201,752
19777,2363,1177,22133,1015,279,223,735
20816,2397,966,21232,796,273,243,1069
18000,2565,3660,20435,699,252,269,1910
19428,2586,2089,20917,568,222,264,1870
20314,1942,1299,21828,797,224,294,1305
19758,1908,1099,21941,897,384,293,1651
19495,896,1221,23191,1234,575,298,1019
20442,326,1090,23677,1470,252,344,258
24163,887,3386,20315,1101,554,186,662
23923,1521,3996,17378,1111,554,227,2522
28414,1359,437,17796,1664,460,242,829
27248,1446,1379,17907,1668,420,299,686
25759,1346,2584,18524,1464,391,305,562
26339,3925,2563,15453,1344,396,370,545
26821,3895,909,15950,1363,362,435,1196
25798,3150,1726,15995,1298,324,478,2161
28352,3232,1318,13907,1359,320,536,1889
26780,3485,4078,13255,1207,286,636,1194
25213,3815,3467,13880,1337,263,614,2397
26955,3789,2964,12560,1492,266,693,2294
25464,2475,2522,15079,1490,504,554,2832
24649,1292,2608,16438,2104,502,562,2642
25545,449,2598,17781,2402,318,637,891
22957,8305,3778,13631,63669,1819,1096,5726
26158,11205,0,9115,64476,1819,1334,6249
20065,10306,3351,10149,68021,1361,1508,5136
17431,9498,3061,12984,69311,1260,2178,3740
14994,9457,4432,10778,73021,1028,2317,2666
14758,12428,4444,8427,73132,999,2650,2093
17083,11516,2057,7498,73133,807,3133,3496
18289,10648,2322,5764,71876,819,4117,4004
19324,9066,1979,6323,70898,845,4685,4464
16448,8748,4255,6558,70469,674,5475,4470
16631,9073,3432,5962,71614,567,5552,3861
16919,8943,2130,5442,71495,574,6192,4996
17085,7151,1775,6253,71539,1068,6534,4501
17306,3770,1578,10551,70819,1184,6677,4160
17285,1032,1556,13890,70629,757,8098,2095
3980,1169,643,3158,14488,230,211,711
4225,1564,0,2379,14561,230,344,1333
3243,1116,527,2771,15527,223,369,781
2978,1018,431,3592,15131,216,551,336
2662,865,553,3211,16059,169,612,270
2629,1732,564,2282,16075,169,727,263
2685,1690,315,1819,16076,114,863,747
2734,1722,327,1556,16009,157,1115,613
2978,1523,252,1717,15872,163,1267,474
2671,1449,493,1773,15497,141,1404,674
2562,1524,350,1728,15353,99,1471,914
2572,1526,242,1533,15345,98,1654,1003
2712,1267,189,1373,15372,189,1526,1312
2570,487,194,2463,15350,196,1555,1059
2636,148,205,2794,15385,137,1744,569
1505,312,157,3243,9434,102,144,237
1567,787,0,2326,9854,102,155,362
1089,513,233,2277,9866,104,175,878
863,520,138,2575,9907,105,198,282
754,360,124,1706,11423,82,194,362
754,886,123,863,12126,75,147,106
771,739,107,717,12126,47,156,377
706,814,91,653,11509,61,189,991
786,676,87,557,11509,139,210,946
678,642,99,476,11799,64,236,823
644,662,80,524,11916,46,254,655
664,698,50,481,11899,59,288,637
680,491,37,507,11900,49,364,502
678,192,51,1249,11833,47,372,71
685,54,42,1351,11780,47,420,10
6170,526,906,1099,18164,307,341,2813
6966,733,0,1057,18068,307,360,2609
5868,702,694,1534,19160,284,410,1315
5101,674,1583,1556,19118,284,596,952
4262,601,1291,1715,20092,229,631,883
4032,1113,1335,1216,20224,231,683,758
4849,1099,628,1050,20223,242,832,651
4952,990,629,852,19590,212,1078,1326
5154,806,476,1010,18604,176,1255,2018
4070,783,1148,1210,18401,144,1477,2053
4315,835,785,984,18710,122,1562,1718
4487,927,476,814,18638,123,1760,1814
4239,668,292,875,18664,212,2294,1748
4258,339,247,1231,18037,314,2357,1849
4085,95,294,1579,18078,151,3086,1141
5378,4038,983,3684,9684,490,169,462
6336,5265,0,1696,10082,490,197,583
4786,4880,975,1759,11167,366,219,500
4209,4069,258,2871,11397,304,314,1510
3591,4572,1274,2032,11804,271,326,516
3572,4916,1322,1871,11887,261,383,345
4339,4487,571,2013,11888,213,477,559
4923,4134,789,1301,11948,210,538,699
